;Latitude;Longitude;VS30
268;40.8650556;40.8650556;521.87
269;40.8669167;40.8669167;510.71
270;40.8570556;40.8570556;465.32
271;40.8568056;40.8568056;1185.98
272;40.8565833;40.8565833;472.766724
273;40.8560833;40.8560833;418.455963
274;40.8609444;40.8609444;513.72998
275;40.8596667;40.8596667;467.87
276;40.8561667;40.8561667;427.81
277;40.8555278;40.8555278;743.143372
278;40.8549722;40.8549722;443.5
279;40.8453333;40.8453333;1114.33
280;40.8432222;40.8432222;385.11
281;40.841;40.841;1392.49414
282;40.833;40.833;455.231018
283;40.8321111;40.8321111;684.980286
284;40.83275;40.83275;1300.14783
285;40.8306944;40.8306944;755.515686
286;40.8305556;40.8305556;410.429596
287;40.8324444;40.8324444;477.973969
288;40.8312194;40.8312194;516.748047
289;40.8215;40.8215;831.514038
290;40.8209444;40.8209444;724.614441
291;40.8195556;40.8195556;419.869476
292;40.8197222;40.8197222;458.483734
293;40.8187778;40.8187778;929.393921
294;40.8076667;40.8076667;194.411346
295;40.8082222;40.8082222;316.783813
296;40.7977778;40.7977778;728.390442
297;40.8798889;40.8798889;615.2208
298;41.0230556;41.0230556;969.8
