No;Enlem;Boylam;VS30
267;409279722;292715833;465.06
268;409298056;292873889;478.41
269;409291389;293038611;1409.9960000 
270;409293611;293195833;581.13
271;409283889;293356667;811.39
272;409297222;293508611;1268.16
273;409272222;293683889;1507.11
277;409204722;291438056;670.8350000 
278;409208889;291593333;639.7308000 
281;409196389;292081111;824.1093750 
282;409184722;292257222;333.3617550 
283;409188611;292386361;303.6925350 
284;409183611;292565278;1125.59
285;409186944;292708889;534.6370000 
286;409169722;292874444;1275.29
287;409174167;293028889;1333.32
288;409163889;293133333;452.7046810 
289;409156667;293349167;923.1633910 
290;409155278;293529444;1559.5678700 
291;409154722;293669917;1304.1460000 
292;409148889;293812500;630.6695000 
295;409073333;291438056;854.7252000 
297;409070833;291769444;1371.4
298;409073333;291932500;908.1398000 
299;409063056;292021944;423.5528000 
300;409068333;292250556;1073.9990000 
301;409050000;292384167;669.2878000 
302;409052500;292554167;903.3031000 
303;409055278;292714167;965.2379150 
304;409040833;292870833;411.9892270 
305;409036389;293033333;397.6670230 
307;409033333;293350278;648.6254000 
308;409038889;293504167;295.5334470 
309;409036667;293668611;576.5836180 
310;409031111;293823333;436.9199520 
311;409031944;293981667;435.7256770 
314;408959722;291756111;973.53
315;408953611;291914167;1379.2741700 
316;408951111;292088056;713.3755490 
317;408946806;292230833;772.6558840 
318;408938833;292394444;426.39
319;408931389;292540278;948.74
320;408917778;292715000;521.25
321;408906944;292873611;400.3
322;408891944;293030278;384.8
323;408951389;293188333;452.09
324;408933056;293344722;713.6
325;408912778;293488611;509.07
326;408937778;293654167;448.5
327;408908889;293827778;474.17
328;408909306;293978333;288.57
329;408905833;294136889;557.79
332;408816944;292090833;1046.54
333;408817778;292213611;1138.58
334;408817222;292394444;767.7601930 
335;408815278;292540278;726.6947630 
336;408825833;292707222;1152.1309800 
337;408803611;292871667;621.3925170 
338;408823333;292946667;588.4965210 
339;408816667;293188333;403.9342040 
340;408801667;293341111;1238.07
341;408790278;293493611;717.98
342;408798889;293660000;682.46
343;408794444;293813056;575.39
344;408790833;293983389;402.9
345;408786667;294137778;382.9376830 
348;408715278;292289722;770.07
349;408763056;292412222;522.9
350;408696944;292541944;488.56
351;408689722;292713333;997.94
352;408688056;292867778;839.39
353;408699167;293037778;1051.0936300 
354;408686389;293174444;655.91
355;408682778;293331389;440.3641360 
356;408658056;293498611;727.49
357;408674861;293651222;332.62
358;408676111;293801389;531.39
359;408650556;293957500;521.87
360;408669167;294126389;510.71
362;408570556;292687500;465.32
363;408568056;292848056;1185.98
364;408565833;293012500;472.7667240 
365;408560833;293165000;418.4559630 
366;408609444;293336111;513.7299800 
367;408596667;293474722;467.87
368;408561667;293650556;427.81
369;408555278;293812778;743.1433720 
370;408549722;293963056;443.5
373;408453333;292999722;1114.33
377;408432222;293642778;385.11
378;408410000;293793889;1392.4941400 
380;408330000;292848056;455.2310180 
381;408321111;292998333;684.9802860 
382;408327500;293173056;1300.1478300 
383;408306944;293318056;755.5156860 
384;408305556;293493333;410.4295960 
385;408324444;293628889;477.9739690 
386;408312194;293797278;516.7480470 
389;408215000;292838611;831.5140380 
390;408209444;293000556;724.6144410 
391;408195556;293143056;419.8694760 
393;408197222;293483056;458.4837340 
394;408187778;293635000;929.3939210 
396;408076667;293475833;194.4113460 
397;408082222;293640000;316.7838130 
398;407977778;293473611;728.3904420 
399;408798889;294277222;615.2208000 
400;410230556;290085833;969.8
